#ID,M1,M2,M3,M4,M5,M6,M7,M8
gene-Mtfp1,0.746307,0.961503,0.820351,0.682078,1.504329,1.175005,1.779411,2.352158
gene-Gm4606,0,0,0,0.0365,0,0,1.142181,0.109325
gene-Slx4,4.317812,5.517188,4.863043,5.736881,5.367922,5.83169,6.256212,5.287704
gene-Usp20,3.579499,3.299402,3.448183,3.364838,3.716824,3.04032,4.412813,3.872593
gene-Gdf11,2.06748,1.784821,1.937461,2.356352,2.332448,2.660429,0.156606,0.208117
gene-Usp22,42.425003,40.128727,29.468082,36.889626,26.952059,30.973272,7.010053,9.675614
gene-Usp24,12.806241,14.27163,11.811832,13.633662,12.794341,13.011417,9.188039,8.211173
gene-Usp25,18.208954,19.544673,23.772918,23.390711,20.372188,23.42736,26.401709,32.680644
gene-Usp26,0,0,0,0,0,0,0,0
gene-Usp28,5.770986,6.32886,6.94798,6.700597,6.055343,5.809191,4.912444,3.944284
gene-Usp29,0,0,0,0,0,0,0,0
gene-Gm46022,0,0,0,0,0,0,0,0
gene-Glipr1l1,0,0,0,0,0,0,0,0
gene-Glipr1l2,0,0,0,0,0,0,0,0
gene-Glipr1l3,0,0,0,0,0,0,0,0
gene-Ntng2,3.295526,2.95699,3.703099,3.640597,3.214805,2.896519,15.47273,10.452255
gene-Ntng1,0,0,0,0,0.004146,0,0,0
gene-Vmp1,62.152795,53.224207,63.493589,51.551337,66.11993,53.358793,64.843562,39.072281
gene-Bicra,2.588852,1.824934,1.71258,2.479882,2.252156,2.438468,2.587747,4.845856
gene-Tctn1,2.565484,2.928463,2.241531,2.588982,2.282756,3.092109,2.596198,2.746265
gene-Slc6a8,17.8937,26.022104,16.259264,19.033319,23.784562,25.720717,15.584227,3.476458
gene-Slc6a9,14.857814,12.669207,12.214788,12.586829,8.535724,9.82533,0.986336,1.445796
gene-Slc6a6,23.325836,26.987843,21.376188,28.277063,29.26322,34.063605,93.784283,87.75074
gene-Slc6a7,0.076203,0.146864,0.098273,0.052582,0.038507,0.06434,0,0
gene-Slc6a4,0.017681,0.117864,0.124586,0.159303,0.093121,0,2.404936,4.070801
gene-Gm3373,0,0,0,0,0.023749,0,0.13923,0.008376
gene-Slc6a2,0.105159,0.073922,0.142225,0.157942,0.040867,0.061911,0,0
gene-Slc6a3,0,0,0,0,0,0,0,0.055549
gene-Gm3376,0,0,0,0,0,0,0,0
